text,label,sentiment_score,sentiment_label
crop is healthy and growing well,1,0.5,Positive
plants are green and strong,1,0.11666666666666664,Positive
good rainfall and irrigation support,1,0.7,Positive
soil condition is excellent,1,1.0,Positive
yield looks promising this season,1,0.2,Positive
no pest or disease observed,1,0.0,Neutral
crop growth is uniform and dense,1,0.0,Neutral
very good vegetation across field,1,0.9099999999999999,Positive
leaves are fresh and green,1,0.04999999999999999,Positive
farmer is satisfied with crop condition,1,0.5,Positive
growth rate is high and stable,1,0.16,Positive
no water shortage issues,1,0.0,Neutral
plants look strong and disease free,1,0.41666666666666663,Positive
excellent crop performance,1,1.0,Positive
field is fully green and healthy,1,0.15,Positive
crop is in best condition,1,1.0,Positive
good sunlight and water supply,1,0.7,Positive
plants are thriving very well,1,0.2,Positive
fertilizer worked effectively,1,0.6,Positive
crop health is very good,1,0.9099999999999999,Positive
all plants are growing evenly,1,0.0,Neutral
healthy leaves and stems observed,1,0.5,Positive
crop is performing above expectations,1,0.0,Neutral
green cover is dense,1,-0.2,Negative
no visible damage in field,1,0.0,Neutral
crop maturity is progressing well,1,0.0,Neutral
plants are robust and strong,1,0.4333333333333333,Positive
field condition is ideal,1,0.9,Positive
high productivity expected,1,0.03,Positive
crop health is excellent,1,1.0,Positive
growth is consistent across field,1,0.25,Positive
water supply is sufficient,1,0.0,Neutral
no stress signs observed,1,0.0,Neutral
plants are in perfect condition,1,1.0,Positive
crop is flourishing well,1,0.0,Neutral
farmer is happy with yield,1,0.8,Positive
uniform growth pattern,1,0.0,Neutral
no pest infestation,1,0.0,Neutral
field looks vibrant green,1,-0.016666666666666677,Negative
crop condition is optimal,1,0.0,Neutral
good environmental conditions,1,0.7,Positive
plants are fully developed,1,0.1,Positive
no issues in growth,1,0.0,Neutral
healthy root system observed,1,0.5,Positive
crop is stable and strong,1,0.4333333333333333,Positive
field is well maintained,1,0.0,Neutral
plants show strong growth,1,0.4333333333333333,Positive
crop is in peak condition,1,0.0,Neutral
excellent vegetation index,1,1.0,Positive
no damage or dryness,1,0.0,Neutral
crop is okay but needs improvement,0,0.5,Positive
growth is uneven in some areas,0,-0.2,Negative
water supply is irregular,0,0.0,Neutral
some plants are weaker,0,0.0,Neutral
average crop performance observed,0,-0.15,Negative
minor pest issues present,0,-0.025,Negative
moderate yield expected,0,-0.05,Negative
crop is not fully healthy,0,0.5,Positive
some dryness observed,0,0.0,Neutral
partial green and dry leaves,0,-0.12222222222222223,Negative
growth is inconsistent,0,0.0,Neutral
soil condition is average,0,-0.15,Negative
plants need better care,0,0.5,Positive
